	001A	001B	002B	004B	006A	006B	008A	009A	009B	010A	010B	012A	012B	013A	014B	016B	017B	018B	020B	27S	30S	4S
Duplicated ATPase component MtsB of energizing module of methionine-regulated ECF transporter	434	1441	66	127	3	185	3	16	613	2	457	3	2	4	2	1	1	1	7	12	365	801
Duplicated ATPase component of energizing module of predicted B12-regulated ECF transporter for dimethylbenzimidazole	5	2	1	1	12	1	9	37	0	61	1	25	9	61	57	102	1068	293	1	15	1	1
Duplicated ATPase component TTE1589 of energizing module of predicted methylthioadenosine ECF transporter	12	1	0	0	8	0	42	53	1	9	0	35	13	67	365	62	53	38	0	1	0	0
Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	730	1141	388	300	45	220	845	288	627	174	546	386	710	187	757	511	778	902	254	295	572	668
Efflux pump Lde	249	253	144	346	5	116	59	52	32	1873	69	92	21	48	52	73	35	9	463	46	49	137
ElaA protein	0	34	15	95	0	1	1	1	0	1	1	4	1	1	2	1	1	1	198	1	11	17
Elastin binding protein EbpS	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0
Electron transfer flavoprotein, alpha subunit	103	265	108	99	11121	93	29035	9767	93	5001	94	9789	20895	12072	20555	22401	24918	11527	83	6985	6	6
Electron transfer flavoprotein, beta subunit	39	130	69	33	2808	34	2310	1277	40	930	54	1405	1082	468	640	1624	3108	2401	41	445	4	5
Electron transport complex protein RnfA	4	8	5	3	851	5	48	57	6	230	4	102	636	178	45	105	229	39	4	108	3	4
Electron transport complex protein RnfB	8	19	6	6	2090	10	1147	625	4	451	11	808	2559	408	786	1126	1285	736	6	308	2	2
Electron transport complex protein RnfC	4	13	3	2	1650	4	85	88	2	303	4	110	1170	172	45	159	552	28	3	76	2	2
Electron transport complex protein RnfD	6	19	8	4	1216	4	82	69	3	247	3	131	914	152	48	153	327	41	3	55	2	3
Electron transport complex protein RnfE	2	5	10	10	1414	4	53	75	4	221	5	184	1095	137	34	104	306	116	15	77	3	3
Electron transport complex protein RnfG	3	9	5	7	1302	3	68	113	3	188	3	223	1288	85	67	107	301	52	3	97	3	3
Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	1	1	144	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1479
Endoglucanase (EC 3.2.1.4)	0	0	0	0	9	0	35	5	0	14	0	27	0	1	0	0	33	0	0	0	0	0
Endonuclease III (EC 4.2.99.18)	1226	1008	2226	3348	1128	1535	1489	2084	636	942	373	1161	1470	688	1110	2119	1463	939	961	695	1097	842
Endonuclease IV (EC 3.1.21.2)	1	2	1	1	41	1	3	4	1	25	1	3	2	2	1	1	5	2	2	4	2	3
Endonuclease VIII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Enolase (EC 4.2.1.11)	50565	72328	76717	96519	36891	52590	84231	80341	27884	74645	22995	88080	50190	42586	75987	87041	92028	40586	26239	70132	53389	55748
Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9)	8	455	8	6	1850	12	1485	986	206	338	236	1098	2423	502	1196	834	1797	1295	4	528	83	74
Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	10	24	34	10	1159	11	515	1124	9	3263	179	429	782	1498	3683	251	3452	2069	98	3811	6	6
Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enoyl-CoA hydratase (EC 4.2.1.17)	0	0	0	0	40	1	0	2	0	41	0	2	2	0	2	1	0	0	1	4	0	0
Enterobactin esterase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Enterobactin exporter EntS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	4
Epi-inositol hydrolase (EC 3.7.1.-)	0	0	0	0	5	1	3	4	0	1	0	2	3	0	2	0	2	1	1	1	0	0
Epimerase KguE	0	41	0	0	3	0	0	0	728	2	1154	1	0	0	1	0	1	0	0	1	1069	594
Error-prone repair protein UmuD	1	3	1	1	4	1	13	199	2	3	1	19	70	1	4	1	87	33	1	6	1	1
Error-prone, lesion bypass DNA polymerase V (UmuC)	0	0	0	1	137	0	5	81	1	57	0	60	18	3	67	0	31	3	1	2	0	0
Erythritol kinase EryA (EC 2.7.1.27)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ESAT-6/Esx family secreted protein EsxA/YukE	1	1	1	1	1	1	92	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1
Esterase ybfF (EC 3.1.-.-)	544	0	0	19	3	46	1	6	2	1	1	0	0	0	5	4	1	0	1	0	0	0
Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7)	0	1	0	0	28	0	2	1	0	1	1	0	0	0	0	1	7	0	0	4	0	0
Ethanolamine ammonia-lyase light chain (EC 4.3.1.7)	1	1	4	2	578	0	15	17	0	195	2	88	23	53	219	18	116	133	2	5	0	0
Ethanolamine operon regulatory protein	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0
Ethanolamine permease	0	0	1	0	16	0	1	2	0	0	0	1	0	0	0	1	4	0	0	2	0	0
Ethanolamine sensory transduction histidine kinase	3	6	2	1	193	3	581	283	1	132	3	224	16	146	425	583	470	326	1	67	0	0
Ethanolamine two-component response regulator	0	0	0	0	104	0	0	0	0	0	0	4	0	0	2	0	3	0	0	0	0	0
Ethanolamine utilization polyhedral-body-like protein EutL	0	0	0	0	19	0	0	0	0	2	0	40	2	0	2	0	13	0	0	0	0	0
Ethanolamine utilization polyhedral-body-like protein EutN	1	1	1	1	56	3	7	1	1	1	1	1	4	1	4	1	11	1	1	8	1	1
Ethanolamine utilization protein EutA	1	0	0	0	17	0	7	10	0	49	0	5	20	20	48	4	107	32	0	3	0	0
Ethanolamine utilization protein EutG	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ethanolamine utilization protein EutJ	0	3	5	3	16	4	2	13	0	2	0	2	3	1	3	0	1	7	2	2	1	1
Ethanolamine utilization protein EutP	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ethanolamine utilization protein EutQ	0	0	0	0	35	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Ethanolamine utilization protein similar to PduA/PduJ	1	1	2	1	143	1	5	1	1	1	2	7	11	1	7	13	29	1	1	6	1	1
Ethanolamine utilization protein similar to PduU	0	0	0	0	97	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
Ethanolamine utilization protein similar to PduV	2	0	0	0	129	0	21	175	0	164	0	23	25	263	69	44	271	42	0	0	0	0
Evolved beta-D-galactosidase transcriptional repressor	2	321	21	0	0	0	1	0	211	0	143	0	0	0	0	0	0	0	0	0	136	191
Evolved beta-D-galactosidase, alpha subunit	1	2	0	0	2	0	4	4	1	13	0	0	57	1	6	26	70	2	1	2	0	0
Evolved beta-D-galactosidase, beta subunit	2	1	1	1	0	2	11	2	0	4	8	1	72	1	1	37	148	10	0	1	1	1
Excinuclease ABC subunit A	1532	1404	1850	2554	1007	2131	1995	2177	771	1258	544	1434	1649	1094	1850	1980	2161	1418	953	932	785	1466
Excinuclease ABC subunit A paralog in greater Bacteroides group	2	2	2	1	219	1	80	171	2	847	1	78	154	181	377	86	720	477	0	386	1	1
Excinuclease ABC subunit A paralog of unknown function	213	301	24	264	8	22	6	9	168	1	96	7	2	12	11	5	25	2	469	2	104	149
Excinuclease ABC subunit B	944	1361	1679	2063	1002	1500	1624	2082	755	1802	553	1217	1179	993	1815	1602	2465	1287	1206	700	645	1199
Excinuclease ABC subunit C	493	1649	1230	1818	1613	924	923	1865	628	768	588	1488	948	646	1283	1755	1407	904	392	476	495	917
Excinuclease cho (excinuclease ABC alternative C subunit)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Exodeoxyribonuclease I (EC 3.1.11.1)	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Exodeoxyribonuclease III (EC 3.1.11.2)	2238	1628	1595	2193	2336	1434	2216	3968	839	2488	823	2690	2215	1660	3308	2720	5632	2478	2760	1839	870	976
Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Exodeoxyribonuclease V beta chain (EC 3.1.11.5)	0	0	0	0	139	0	1	4	1	37	0	22	1	3	46	3	2	1	1	0	0	0
Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	2745	7956	2468	3322	1078	2016	2221	2380	4460	1774	3257	1887	1504	1259	1848	2068	1932	1051	5778	654	4766	6149
Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	2934	11368	2650	3558	1362	1983	2349	2215	6652	1489	3902	1703	1484	1362	2307	2062	3152	1894	6956	801	3763	5030
Exodeoxyribonuclease X (EC 3.1.11.-)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Exonuclease SbcC	260	2175	1744	156	960	185	1074	888	835	317	1279	316	386	244	717	1109	1620	773	3131	105	728	2043
Exonuclease SbcD	10	12	166	171	421	54	1155	723	4	345	7	343	281	367	837	1399	1648	945	5	153	7	2
Exopolyphosphatase (EC 3.6.1.11)	129	23	39	16	429	8	966	391	15	522	11	535	2574	394	1043	1082	1953	1408	35	588	14	15
Exopolysaccharide biosynthesis glycosyltransferase EpsF (EC 2.4.1.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1425
Exopolysaccharide biosynthesis transcription antiterminator, LytR family	0	25	6	0	1594	3	28	2675	14	110	8	1321	111	198	163	85	185	30	1	2	1	1
Exopolysaccharide biosynthesis transcriptional activator EpsA	9314	8	7	2	8	3	7	13	13	20	7	7	21	10	6	5	24	15	20	1	2	1
Exopolysaccharide production protein ExoZ	0	0	0	0	4	0	29	4	0	25	0	1	65	2	24	0	279	186	0	100	0	1
Export ABC transporter ATP-binding protein	1	1	1	1	1	1	2	6	4	2	1	1	1	5	10	1	5	1	1	4	1	1
Extracellular deoxyribonuclease Dns (EC 3.1.21.-)	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Family 13 glycosyl hydrolase, row 724	0	1	0	0	2	0	2	7	0	86	0	63	0	0	1	0	0	0	0	1	0	0
Fe-bacillibactin uptake system FeuD	0	0	0	1	21	1	132	62	0	19	0	46	0	57	109	134	170	85	0	35	0	0
Fe-S-cluster-containing hydrogenase components 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Fe2+/Zn2+ uptake regulation proteins	0	2	2	0	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0	0
FemC, factor involved in methicillin resistance	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0
FemD, factor involved in methicillin resistance	0	0	0	1	10	0	12	37	1	40	1	11	10	20	7	19	26	16	0	0	0	0
Ferredoxin	1343	31	23	100	1446	169	1134	1308	13	1425	72	709	893	908	1437	2033	4990	1489	111	1782	22	16
Ferredoxin reductase	1	1	1	2	8	1	29	47	1	42	1	68	3	1	1	1	2	9	1	1	1	1
Ferredoxin--NADP(+) reductase (EC 1.18.1.2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Ferredoxin--sulfite reductase (EC 1.8.7.1)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0
Ferredoxin-like protein	0	0	0	0	22	0	0	0	0	0	0	0	0	0	3	0	0	6	0	3	0	0
Ferredoxin-like protein FixX	1	1	1	6	1	1	1	1	3	1	1	1	1	1	4	1	1	1	1	1	1	1
Ferredoxin-like protein YgcO	0	7	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Ferredoxin-type protein NapF (periplasmic nitrate reductase)	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Ferredoxin-type protein NapG (periplasmic nitrate reductase)	0	0	0	0	1	0	2	0	0	0	0	0	0	1	3	1	1	2	1	0	0	0
Ferredoxin, 2Fe-2S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
Ferric enantio-pyochelin transport system periplasmic substrate-binding protein	1	7	1	1	44	1	7	88	1	15	1	48	137	30	74	7	157	122	1	33	1	1
Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), ATP-binding protein FhuC	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), periplasmic substrate binding protein FhuD	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Ferric hydroxamate outer membrane receptor FhuA	0	0	0	0	12	0	2	2	0	37	0	7	2	1	2	1	14	5	0	4	0	0
Ferric iron ABC transporter, ATP-binding protein	5	7	2	3	43	2	36	92	2	1274	4	71	1004	670	769	432	2986	40	1	1981	1	3
Ferric iron ABC transporter, iron-binding protein	18	7	9	6	716	5	511	412	7	677	4	514	477	242	438	447	976	447	4	147	4	3
Ferric iron ABC transporter, permease protein	4	3	2	1	43	1	8	25	1	67	1	35	18	11	12	17	82	24	1	59	1	1
Ferric reductase (1.6.99.14)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Ferric siderophore transport system, biopolymer transport protein ExbB	29	248	70	38	19270	38	3108	7520	88	33215	72	8621	10375	13343	27286	2157	31561	16421	26	14570	14	7
Ferric siderophore transport system, periplasmic binding protein TonB	29	72	57	30	7437	43	2507	5283	28	27461	33	6919	8457	12677	23861	2017	41033	16555	18	19585	14	14
Ferric uptake regulation protein	0	1	1	1	21	1	1	237	0	80	1	27	28	169	47	34	179	40	0	148	1	1
Ferric uptake regulation protein FUR	49	68	38	27	1581	38	3517	2402	37	8239	33	2581	3442	2102	5491	2778	8315	4094	35	1883	7	7
Ferrichrome-iron receptor	1	1	1	0	1	0	13	2	0	5	0	8	1	0	0	1	6	4	0	8	0	0
Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	8	3	510	504	11	217	268	189	8	5	3	292	146	281	649	491	146	37	366	99	42	27
Ferrous iron transport permease EfeU	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Ferrous iron transport peroxidase EfeB	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibronectin-binding protein	2	15	8	6	12	7	7	21	6	10	3	65	3	3	13	7	9	5	6	1	0	0
fig|1680.3.peg.1535	5	1	3	1	0	0	3	2	1	83	0	0	79	0	1	96	180	129	0	0	0	0
fig|196162.6.peg.3754	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
fig|220664.3.peg.2615	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
fig|224308.1.peg.1165	2	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	3	0	0	0
fig|226185.1.peg.274	12	156	8	3	3	1	3	1	1378	1	2356	1	1	2	1	1	3	1	2	4	1162	694
fig|262543.4.peg.589	0	0	0	0	9	0	0	8	0	0	0	0	3	0	0	0	0	0	0	1	0	0
fig|269801.1.peg.4266	263	886	66	30	6	78	7	2	706	3	409	4	1	3	1	1	4	4	465	1	696	1203
fig|272558.1.peg.4038	0	0	0	0	6	0	1	26	0	4	0	5	15	0	0	0	24	7	0	0	0	0
fig|272621.3.peg.1430	0	598	510	751	0	312	595	300	459	4	245	437	201	783	577	495	191	44	182	141	450	537
fig|272844.1.peg.1772	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
fig|279010.5.peg.2475	0	75	27	284	0	0	1	3	0	2	0	1	0	2	1	0	4	1	0	1	14	1
fig|290402.34.peg.2697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1
fig|295405.3.peg.746	1	3	2	1	66	1	36	66	0	486	2	19	87	137	228	32	365	200	0	232	0	0
fig|312309.11.peg.170	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
fig|314269.3.peg.1187	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
fig|324831.10.peg.1656	817	1	1	25	0	112	0	0	1	1	0	0	0	1	1	0	0	0	7	0	1	0
fig|335541.4.peg.1533	0	1	0	0	171	1	3	189	0	36	0	81	10	44	7	1	24	2	0	2	0	0
fig|349161.4.peg.1621	1	0	0	0	13	0	0	21	0	28	0	49	5	0	0	0	2	8	0	0	0	0
fig|357809.4.peg.1055	0	2	2	2	3	1	2	11	0	18	0	9	2	1	2	1	2	2	0	1	0	0
fig|390333.6.peg.1604	175	507	327	407	246	192	265	345	413	469	214	536	245	231	356	341	504	289	195	233	250	181
fig|390333.6.peg.1879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1
fig|392500.3.peg.692	0	2	0	0	4	0	7	13	0	3	0	2	1	15	34	1	4	11	0	2	0	0
fig|405566.3.peg.1113	217	31	7	154	0	43	7	0	0	2	0	0	1	3	1	1	1	1	770	1	10	29
fig|420246.5.peg.1544	0	1	0	0	0	0	1	8	0	0	0	2	0	1	1	1	6	0	0	0	0	0
fig|446462.5.peg.4182	0	0	0	0	48	0	0	0	0	6	0	3	0	0	0	0	0	1	0	1	0	0
fig|471856.4.peg.1702	0	0	0	0	4	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
fig|543734.3.peg.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
fig|557433.3.peg.1719	1	0	1	1	0	0	0	0	5	1	0	1	0	0	0	0	0	0	4	0	0	0
fig|817.1.peg.3752	0	0	0	0	14	0	2	70	0	6	0	8	32	0	10	0	53	13	0	1	0	0
FIG000233: metal-dependent hydrolase	3659	17132	6726	7469	2557	2606	6359	5346	10363	5370	8072	4567	3512	2629	6649	5447	5905	3743	5143	1360	7551	8748
FIG000557: hypothetical protein co-occurring with RecR	4651	7764	7675	9723	3120	4226	8411	6734	3626	1373	2888	5717	5166	4412	6853	10149	6573	2528	6582	1154	3037	3402
FIG000859: hypothetical protein	11697	23696	40187	43370	8204	23191	31228	28553	10668	14797	8332	23197	18830	18760	26342	25746	31923	17337	7290	14432	7756	6965
FIG001341: Probable Fe(2+)-trafficking protein YggX	1	4	1	1	6	1	4	1	1	56	1	22	4	1	1	1	1	1	1	1	1	1
FIG001583: hypothetical protein, contains S4-like RNA binding domain	4465	5567	340	709	1314	429	59	144	2454	123	2033	552	2820	30	55	50	139	82	1603	51	1987	2447
FIG001590: Putative conserved exported protein precursor	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FIG001721: Predicted N6-adenine-specific DNA methylase	2834	3336	909	1556	45	685	432	597	1712	23	734	358	204	370	420	412	160	40	1235	205	1099	1073
FIG001802: Putative alkaline-shock protein	17672	52868	10490	18135	5043	7853	10531	11660	27364	10177	18006	12978	4505	8045	7483	10876	5419	1504	9274	2207	25348	31022
FIG001960: FtsZ-interacting protein related to cell division	16619	14246	22377	29885	2281	14038	17193	6697	8180	3028	4413	9619	10116	7326	9169	18148	5235	1491	5269	2652	5356	7458
FIG002344: Hydrolase (HAD superfamily)	2	27	9	12	340	15	29	167	2	532	512	257	30	22	54	30	103	53	6	41	17	19
FIG002708: Protein SirB1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0
FIG002958: hypothetical protein	3063	11655	9896	11328	1771	5207	8124	6545	4876	2441	4918	7819	2667	6277	5735	9239	4275	1794	1011	798	4078	4522
FIG003307: hypothetical protein	8	9	6	6	982	3	2561	1410	6	657	9	1444	1265	706	2384	1852	2873	1764	3	401	4	4
FIG003573: hypothetical protein	4	3	2	2	175	3	613	372	2	118	1	178	19	197	417	650	493	414	2	105	1	1
FIG004453: protein YceG like	2716	40	2068	2460	1254	1473	4440	2861	64	2170	16	2931	2034	2242	3609	3090	3870	1976	32	3071	204	23
FIG004454: RNA binding protein	18	35	25	24	1473	17	518	1269	27	1769	20	1465	635	322	538	534	1312	412	21	189	13	10
FIG005080: Possible exported protein	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FIG005189: putative transferase clustered with tellurite resistance proteins TehA/TehB	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
FIG005666: putative helicase	66	1	8	1	8	2	168	55	0	327	1	53	499	125	225	480	839	890	1	255	0	0
FIG005686: hypothetical protein	197	1160	326	448	3	234	112	88	475	206	510	158	173	185	225	164	349	89	184	32	480	698
FIG006045: Sigma factor, ECF subfamily	1	1	1	1	668	1	1	5	1	258	1	137	1	1	151	1	1	1	1	1	1	1
FIG006126: DNA helicase, restriction/modification system component YeeB	0	1	174	0	1	4	924	881	16	3	0	3	0	22	1	1	0	0	0	0	0	4
FIG006542: Phosphoesterase	3	2	1	1	685	1	18	779	1	74	1	396	50	94	74	36	132	17	1	1	1	1
FIG006988: Lipase/Acylhydrolase with GDSL-like motif	5	1	1	8	5	1	1	2	5	3	1	3	3	1	1	2	1	1	5	3	3	9
FIG007079: UPF0348 protein family	3464	3366	3383	4260	492	2300	2416	1721	2087	129	1346	1614	1067	1618	1824	2209	1086	287	1151	551	1827	2497
FIG007959: peptidase, M16 family	5	15	14	4	1864	6	147	1230	4	724	7	459	1020	434	1214	56	1999	789	4	655	3	2
FIG009886: phosphoesterase	14	9	5	8	222	7	31	160	15	1294	7	674	11	4	7	4	6	4	18	21	14	16
FIG014574: hypothetical protein	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	1	0	0	0	0	0	0
FIG015094: hypothetical protein	1597	2127	1239	1972	18	1003	510	755	1340	23	607	393	308	549	907	945	243	68	828	358	3265	3595
FIG019733: possible DNA-binding protein	417	10	42	5	45	6	2455	550	5	1315	5	346	2283	564	1473	2409	5039	4265	14	1332	2	1
FIG021862: membrane protein, exporter	0	0	0	0	24	0	18	81	0	78	0	1	42	144	235	20	286	196	0	250	0	0
FIG027190: Putative transmembrane protein	0	2	0	0	85	2	68	261	0	367	0	0	296	875	1153	118	1654	1069	0	1022	0	0
FIG037995: Hypothetical protein	10	0	0	0	0	0	9	16	0	0	0	6	0	16	234	0	0	0	0	0	0	0
FIG042796: Hypothetical protein	49	3	5	1	5	2	162	5	1	235	1	103	386	208	12	390	621	376	5	1352	1	1
FIG045374: Type II restriction enzyme, methylase subunit YeeA	0	7	197	0	1	0	0	433	1	4	1	12	0	26	0	16	22	0	0	0	0	3
FIG094199: Fumarylacetoacetate hydrolase	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0
FIG133424: Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIG137864: putative endonuclease containing a URI domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
FIG138315: Putative alpha helix protein	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
FIG138517: Putative lipid carrier protein	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0
FIG139552: Putative protease	0	0	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
FIG139598: Potential ribosomal protein	292	132	81	91	38031	90	28477	26885	137	13341	2520	19029	21927	12705	22975	12763	33212	15822	160	4443	90	93
FIG139928: Putative protease	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FIG143828: Hypothetical protein YbgA	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type	4170	10126	3807	4687	643	2526	2396	1898	3634	194	3065	1776	1764	1363	1477	2247	1242	423	1052	919	4690	6164
FIGfam010146: Two component system histidine kinase	0	0	0	0	4	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0
FIGfam013899: ABC transporter substrate-binding protein	0	0	0	0	1	0	1	2	0	0	0	2	1	1	5	3	6	0	0	0	0	0
FIGfam014588: Predicted regulator of CFA/I fimbriae	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIGfam135315: Iojap-related protein	5050	5187	3336	3952	1987	2262	5829	3936	3258	4617	2412	3381	2605	3209	3828	4903	7857	3487	1822	2627	2603	3546
Fimbriae usher protein StcC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Fimbrial protein YadN	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
Firmicutes ribosomal L7Ae family protein	2	5	2	2	2422	2	2	34	5	3	1196	954	3735	2	2	2	2	6	5	3	3	3
FKBP-type peptidyl-prolyl cis-trans isomerase fklB (EC 5.2.1.8)	20	30	33	13	3091	21	2019	2545	16	21884	24	1193	4055	6712	9569	1629	19893	10595	11	6962	8	7
FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	4	9	13	4	941	6	236	660	3	1759	5	72	582	643	1202	77	2050	1114	3	750	3	5
FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (EC 5.2.1.8)	12	22	17	10	953	11	792	1243	5	5183	12	632	2096	1578	3908	424	6186	2625	8	664	4	4
Flagellar assembly protein FliH	0	0	0	0	255	1	27	346	1	2356	3	1185	7	0	0	1	1	0	0	0	0	0
Flagellar basal-body P-ring formation protein FlgA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flagellar basal-body rod modification protein FlgD	0	0	0	0	8	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0
Flagellar basal-body rod protein FlgB	0	0	0	0	491	0	48	582	3	4614	4	2116	1	1	1	4	4	4	0	1	1	1
Flagellar basal-body rod protein FlgC	1	1	1	1	273	3	39	491	6	3937	1	2132	1	1	1	1	1	1	3	1	1	1
Flagellar basal-body rod protein FlgF	0	0	0	1	900	1	123	1703	2	9863	1	5282	1	5	0	6	2	5	0	0	0	0
Flagellar basal-body rod protein FlgG	1	0	0	0	857	4	99	1501	1	8919	2	4766	0	1	3	3	3	2	1	0	0	0
Flagellar biosynthesis protein FlhA	0	1	1	4	3	1	1	5	0	14	1	16	0	0	0	1	0	1	0	0	0	0
Flagellar biosynthesis protein FliL	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
Flagellar biosynthesis protein FliO	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Flagellar biosynthesis protein FliR	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Flagellar biosynthesis protein FliS	2	1	1	1	1134	13	194	1872	4	19320	5	12117	3	18	3	9	3	3	1	1	1	1
